dateTime,lightLevel
2020-03-09 00:21:54.517626,320
2020-03-09 00:22:01.495325,323
2020-03-09 00:22:08.457184,311
2020-03-09 00:22:15.434916,333
2020-03-09 00:22:22.413294,325
2020-03-09 00:22:29.390477,298
2020-03-09 00:22:36.368220,321
2020-03-09 00:22:43.345872,328
2020-03-09 00:22:50.307689,344
2020-03-09 00:22:57.285479,320
2020-03-09 00:23:04.263174,356
2020-03-09 00:23:11.224938,328
2020-03-09 00:23:18.202662,315
2020-03-09 00:23:25.164439,349
2020-03-09 00:23:32.142139,357
2020-03-09 00:23:39.119812,355
2020-03-09 00:23:46.097544,312
2020-03-09 00:23:53.059390,340
2020-03-09 00:24:00.037098,350
2020-03-09 00:24:06.999022,314
2020-03-09 00:24:13.976638,350
2020-03-09 00:24:20.954356,198
2020-03-09 00:24:27.916317,354
2020-03-09 00:24:34.897696,309
2020-03-09 00:24:41.871675,359
2020-03-09 00:24:48.833510,357
2020-03-09 00:24:55.811259,344
2020-03-09 00:25:02.788888,21
2020-03-09 00:25:09.766701,349
2020-03-09 00:25:16.728627,356
2020-03-09 00:25:23.706213,342
2020-03-09 00:25:30.683827,311
