dateTime,infraRed,red,green,blue,proximity
2020-03-09 00:21:53.541323,23.00,15.00,9.00,9.00,81
2020-03-09 00:22:00.503278,23.00,15.00,9.00,9.00,81
2020-03-09 00:22:07.480909,23.00,15.00,9.00,9.00,81
2020-03-09 00:22:14.458656,23.00,15.00,9.00,9.00,81
2020-03-09 00:22:21.420599,23.00,15.00,9.00,9.00,81
2020-03-09 00:22:28.414158,1.00,1.00,0.00,0.00,96
2020-03-09 00:22:35.391905,23.00,15.00,9.00,9.00,70
2020-03-09 00:22:42.353716,23.00,15.00,10.00,9.00,71
2020-03-09 00:22:49.331473,23.00,15.00,10.00,9.00,70
2020-03-09 00:22:56.309166,23.00,15.00,10.00,9.00,71
2020-03-09 00:23:03.271009,23.00,15.00,10.00,9.00,70
2020-03-09 00:23:10.248657,23.00,15.00,10.00,9.00,70
2020-03-09 00:23:17.226334,23.00,15.00,10.00,9.00,70
2020-03-09 00:23:24.188127,23.00,15.00,10.00,9.00,70
2020-03-09 00:23:31.165824,24.00,15.00,10.00,9.00,71
2020-03-09 00:23:38.143546,23.00,15.00,10.00,9.00,70
2020-03-09 00:23:45.105356,23.00,15.00,10.00,9.00,71
2020-03-09 00:23:52.083037,23.00,15.00,9.00,9.00,71
2020-03-09 00:23:59.060854,23.00,15.00,9.00,9.00,71
2020-03-09 00:24:06.022659,23.00,15.00,9.00,9.00,71
2020-03-09 00:24:13.000344,23.00,15.00,10.00,9.00,71
2020-03-09 00:24:19.978027,23.00,14.00,9.00,9.00,71
2020-03-09 00:24:26.940006,23.00,15.00,9.00,9.00,71
2020-03-09 00:24:33.917734,23.00,15.00,9.00,9.00,71
2020-03-09 00:24:40.895422,23.00,15.00,9.00,9.00,71
2020-03-09 00:24:47.857384,23.00,15.00,9.00,9.00,72
2020-03-09 00:24:54.835034,23.00,15.00,9.00,9.00,71
2020-03-09 00:25:01.796847,1.00,1.00,0.00,1.00,93
2020-03-09 00:25:08.790391,23.00,15.00,9.00,9.00,92
2020-03-09 00:25:15.752583,23.00,15.00,9.00,9.00,93
2020-03-09 00:25:22.729960,23.00,15.00,9.00,9.00,93
2020-03-09 00:25:29.691662,23.00,15.00,9.00,9.00,93
