dateTime,luminosity,ir,full,visible,lux
2020-03-09 00:21:52.533111,39912602,609,1178,569,14.951273
2020-03-09 00:21:59.510838,40174753,613,1185,572,15.020093
2020-03-09 00:22:06.472796,40174754,613,1186,573,15.059948
2020-03-09 00:22:13.450415,40109216,612,1184,572,15.032778
2020-03-09 00:22:20.428074,40109217,612,1185,573,15.072657
2020-03-09 00:22:27.405859,1572902,24,38,14,0.280589
2020-03-09 00:22:34.383660,40174753,613,1185,572,15.020093
2020-03-09 00:22:41.361353,40174755,613,1187,574,15.099827
2020-03-09 00:22:48.323193,40240293,614,1189,575,15.126997
2020-03-09 00:22:55.300942,40240293,614,1189,575,15.126997
2020-03-09 00:23:02.278710,40240294,614,1190,576,15.166902
2020-03-09 00:23:09.240461,40240293,614,1189,575,15.126997
2020-03-09 00:23:16.218121,40240293,614,1189,575,15.126997
2020-03-09 00:23:23.180040,40240293,614,1189,575,15.126997
2020-03-09 00:23:30.157625,40305832,615,1192,577,15.194076
2020-03-09 00:23:37.135319,40240294,614,1190,576,15.166902
2020-03-09 00:23:44.113065,40240295,614,1191,577,15.206834
2020-03-09 00:23:51.074796,40436905,617,1193,576,15.128765
2020-03-09 00:23:58.052606,40109216,612,1184,572,15.032778
2020-03-09 00:24:05.014400,40174755,613,1187,574,15.099827
2020-03-09 00:24:11.992144,40240294,614,1190,576,15.166902
2020-03-09 00:24:18.969827,40043679,611,1183,572,15.045485
2020-03-09 00:24:25.931795,40109216,612,1184,572,15.032778
2020-03-09 00:24:32.909418,40043680,611,1184,573,15.085386
2020-03-09 00:24:39.887206,40043678,611,1182,571,15.005610
2020-03-09 00:24:46.848975,41223358,629,1214,585,15.335288
2020-03-09 00:24:53.826788,41288897,630,1217,587,15.402263
2020-03-09 00:25:00.788647,19989060,305,580,275,7.093103
2020-03-09 00:25:07.782171,41551047,634,1223,589,15.431318
2020-03-09 00:25:14.744247,41551048,634,1224,590,15.471112
2020-03-09 00:25:21.721723,41551048,634,1224,590,15.471112
2020-03-09 00:25:28.699313,41616585,635,1225,590,15.458482
